iter	Passed	Remaining
171	340	1638
172	342	1636
173	344	1633
174	345	1630
175	347	1627
176	349	1626
177	351	1624
178	353	1621
179	355	1619
180	357	1619
181	359	1617
182	362	1616
183	364	1614
184	366	1616
185	368	1614
186	370	1612
187	372	1610
188	374	1607
189	376	1605
190	378	1603
191	380	1601
192	382	1598
193	384	1596
194	386	1593
195	388	1592
196	390	1590
197	392	1588
198	393	1585
199	395	1583
200	397	1581
201	399	1578
202	401	1576
203	403	1574
204	405	1571
205	407	1569
206	409	1566
207	410	1564
208	412	1562
209	414	1559
210	416	1558
211	418	1556
212	420	1553
213	422	1551
214	424	1549
215	426	1546
216	428	1544
217	430	1543
218	432	1540
219	433	1538
220	435	1536
221	437	1533
222	439	1531
223	441	1528
224	443	1526
225	445	1524
226	447	1522
227	448	1519
228	450	1516
229	452	1514
230	454	1512
231	456	1510
232	458	1508
233	460	1507
234	462	1505
235	464	1502
236	466	1500
237	467	1498
238	469	1496
239	471	1493
240	473	1491
241	475	1490
242	477	1488
243	479	1485
244	481	1483
245	483	1481
246	485	1479
247	487	1477
248	489	1475
249	490	1472
250	492	1470
251	494	1468
252	496	1466
253	498	1464
254	500	1461
255	502	1461
256	504	1459
257	506	1457
258	508	1456
259	510	1453
260	512	1452
261	514	1449
262	516	1447
263	518	1445
264	520	1443
265	522	1441
266	524	1438
267	526	1437
268	528	1435
269	530	1434
270	532	1432
271	534	1431
272	536	1429
273	538	1428
274	541	1426
275	543	1425
276	545	1423
277	547	1421
278	549	1419
279	551	1418
280	553	1416
281	555	1414
282	557	1412
283	559	1410
284	561	1409
285	563	1408
286	565	1406
287	567	1403
288	569	1401
289	571	1400
290	574	1399
291	576	1397
292	578	1395
293	580	1393
294	582	1392
295	584	1390
296	586	1388
297	588	1386
298	590	1384
299	592	1383
300	594	1381
301	596	1378
302	598	1376
303	600	1374
304	602	1372
305	604	1369
306	606	1368
307	608	1366
308	610	1364
309	612	1362
310	614	1360
311	616	1358
312	618	1356
313	620	1355
314	622	1353
315	624	1351
316	626	1350
317	628	1348
318	630	1346
319	632	1344
320	634	1342
321	636	1341
322	638	1339
323	640	1337
324	642	1335
325	644	1333
326	646	1331
327	648	1329
328	650	1327
329	652	1325
330	654	1323
331	656	1321
332	658	1319
333	660	1317
334	662	1316
335	665	1314
336	667	1312
337	669	1311
338	671	1309
339	673	1307
340	675	1306
341	677	1304
342	679	1302
343	682	1301
344	684	1299
345	687	1298
346	689	1297
347	691	1294
348	693	1293
349	695	1292
350	697	1290
351	699	1288
352	701	1286
353	703	1284
354	705	1282
355	707	1280
356	709	1278
357	711	1275
358	714	1275
359	716	1273
360	718	1271
361	720	1269
362	722	1267
363	724	1265
364	726	1263
365	728	1261
366	730	1260
367	732	1258
368	735	1257
369	737	1255
370	739	1254
371	742	1252
372	744	1251
373	746	1249
374	748	1247
375	750	1245
376	752	1243
377	754	1242
378	757	1240
379	759	1239
380	761	1237
381	764	1236
382	766	1234
383	768	1232
384	770	1230
385	772	1228
386	774	1226
387	776	1224
388	778	1222
389	780	1220
390	782	1218
391	784	1216
392	786	1214
393	788	1212
394	790	1210
395	792	1209
396	794	1207
397	796	1204
398	798	1203
399	801	1201
400	802	1199
401	805	1197
402	807	1195
403	809	1194
404	811	1192
405	813	1190
406	815	1188
407	817	1186
408	819	1183
409	821	1181
410	823	1179
411	825	1178
412	827	1176
413	830	1174
414	832	1172
415	833	1170
416	835	1168
417	837	1166
418	839	1164
419	841	1162
420	843	1160
421	845	1158
422	848	1156
423	850	1154
424	852	1153
425	855	1152
426	857	1150
427	859	1148
428	861	1146
429	863	1144
430	865	1143
431	868	1141
432	870	1139
433	872	1137
434	874	1135
435	876	1133
436	878	1131
437	880	1129
438	882	1127
439	885	1126
440	887	1125
441	889	1123
442	891	1121
443	893	1119
444	897	1118
445	899	1116
446	901	1114
447	903	1113
448	905	1111
449	909	1111
450	911	1109
451	913	1107
452	916	1106
453	918	1104
454	920	1102
